Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2008,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.17462822100000003
2009,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.18804144899999997
2010,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.248422363
2011,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.159203191
2012,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.150843734
2013,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.19964921600000002
2014,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.130767413
2015,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.063036584
2016,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.110976406
2017,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.161950278
2018,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.099263224
2001,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.24639994699999998
2002,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.159886815
2003,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.188825045
2004,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.162122884
2005,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.168245831
2006,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.170800375
2007,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.212855582
2008,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.247069195
2009,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.259661054
2010,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.21539786800000002
2011,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.12266373800000001
2012,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.13925437400000001
2013,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.141873259
2014,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.11678173
2015,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.071597664
2016,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.07107498799999999
2017,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.060558466
2018,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.09364373699999999
2001,,,,Undefined,Units,Number of Deaths,Deaths,,130.0
2002,,,,Undefined,Units,Number of Deaths,Deaths,,95.0
2003,,,,Undefined,Units,Number of Deaths,Deaths,,94.0
2004,,,,Undefined,Units,Number of Deaths,Deaths,,95.0
2005,,,,Undefined,Units,Number of Deaths,Deaths,,90.0
2006,,,,Undefined,Units,Number of Deaths,Deaths,,93.0
2007,,,,Undefined,Units,Number of Deaths,Deaths,,109.0
2008,,,,Undefined,Units,Number of Deaths,Deaths,,116.0
2009,,,,Undefined,Units,Number of Deaths,Deaths,,124.0
2010,,,,Undefined,Units,Number of Deaths,Deaths,,129.0
2011,,,,Undefined,Units,Number of Deaths,Deaths,,79.0
2012,,,,Undefined,Units,Number of Deaths,Deaths,,82.0
2013,,,,Undefined,Units,Number of Deaths,Deaths,,97.0
2014,,,,Undefined,Units,Number of Deaths,Deaths,,71.0
2015,,,,Undefined,Units,Number of Deaths,Deaths,,39.0
2016,,,,Undefined,Units,Number of Deaths,Deaths,,53.0
2017,,,,Undefined,Units,Number of Deaths,Deaths,,65.0
2018,,,,Undefined,Units,Number of Deaths,Deaths,,57.0
2001,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,64.0
2002,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,52.0
2003,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,43.0
2004,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,51.0
2005,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,44.0
2006,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,46.0
2007,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,50.0
2008,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,47.0
2009,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,51.0
2010,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,68.0
2011,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,44.0
2012,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,42.0
2013,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,56.0
2014,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,37.0
2015,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,18.0
2016,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,32.0
2017,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,47.0
2018,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,29.0
2001,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,66.0
2002,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,43.0
2003,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,51.0
2004,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,44.0
2005,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,46.0
2006,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,47.0
2007,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,59.0
2008,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,69.0
2009,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,73.0
2010,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,61.0
2011,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,35.0
2012,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,40.0
2013,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,41.0
2014,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,34.0
2015,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,21.0
2016,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,21.0
2017,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,18.0
2018,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,28.0
2001,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,120.0
2002,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,84.0
2003,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,91.0
2004,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,88.0
2005,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,88.0
2006,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,90.0
2007,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,102.0
2008,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,112.0
2009,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,114.0
2010,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,115.0
2011,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,73.0
2012,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,81.0
2013,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,91.0
2014,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,64.0
2015,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,36.0
2016,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,48.0
2017,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,63.0
2018,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,53.0
2001,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,10.0
2002,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,11.0
2003,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2004,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2005,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2006,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2007,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2008,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2009,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,10.0
2010,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,14.0
2011,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,6.0
2012,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2013,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,6.0
2014,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2015,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2016,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,5.0
2017,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2018,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2001,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,59.0
2002,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,46.0
2003,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,42.0
2004,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,48.0
2005,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,43.0
2006,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,46.0
2007,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,47.0
2008,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,44.0
2009,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,47.0
2010,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,61.0
2011,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,40.0
2012,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,42.0
2013,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,53.0
2014,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,34.0
2015,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,16.0
2016,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,28.0
2017,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,45.0
2018,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,27.0
2001,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,61.0
2002,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,38.0
2003,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,49.0
2004,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,40.0
2005,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,45.0
2006,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,44.0
2007,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,55.0
2008,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,68.0
2009,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,67.0
2010,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,54.0
2011,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,33.0
2012,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,39.0
2013,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,38.0
2014,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,30.0
2015,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,20.0
2016,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,20.0
2017,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,18.0
2018,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,26.0
2001,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,5.0
2002,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,6.0
2003,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2004,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2005,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2006,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2007,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2008,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2009,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2010,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2011,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2012,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2013,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2014,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2015,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2016,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2017,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2018,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2001,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,5.0
2002,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,5.0
2003,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2004,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2005,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2006,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2007,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2008,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2009,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,6.0
2010,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2011,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2012,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2013,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2014,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2015,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2016,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2017,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2018,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2001,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2002,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2003,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2004,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2005,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2.0
2006,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2007,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2008,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2.0
2009,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2010,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2011,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2012,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2013,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2014,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2015,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2016,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,1.0
2017,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2018,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2001,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2002,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2003,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2004,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2005,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2.0
2006,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2007,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2008,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2.0
2009,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2010,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2011,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2012,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2013,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2014,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2015,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2016,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,1.0
2017,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2018,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2001,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2002,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2003,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2004,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2005,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2006,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2007,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2008,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2009,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2010,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2011,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2012,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2013,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2014,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2015,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2016,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2017,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2018,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0.0
2001,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2002,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2003,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2004,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2005,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2006,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2007,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2008,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2.0
2009,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2010,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2011,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2012,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2013,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2014,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2015,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2016,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2017,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2018,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2001,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2002,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2003,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2004,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2005,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2.0
2006,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2007,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2008,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2009,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2010,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2011,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2012,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2013,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2014,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2015,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2016,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,1.0
2017,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2018,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0.0
2001,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2002,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2003,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2004,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2005,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2006,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2007,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2008,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2.0
2009,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2010,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2011,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2012,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2013,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2014,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2015,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2016,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2017,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2018,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2001,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2002,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2003,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2004,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2005,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2.0
2006,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2007,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2008,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2009,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2010,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
2011,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0.0
