Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2001,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.248281235
2002,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.180601007
2003,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.177817333
2004,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.178732617
2005,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.167987725
2006,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.172379106
2007,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.200414096
2008,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.211517801
2009,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.22449431
2010,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.231629355
2011,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.140642151
2012,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.144958803
2013,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.170330143
2014,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.123674734
2015,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.067374487
2016,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.090782623
2017,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.110648478
2018,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.096420908
2001,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.25025164
2002,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.202270738
2003,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.166317857
2004,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.196062489
2005,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.167718733
2006,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.174022589
2007,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.187483117
2008,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.174628221
2009,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.188041449
2010,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.248422363
2011,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.159203191
2012,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.150843734
2013,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.199649216
2014,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.130767413
2015,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.063036584
2016,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.110976406
2017,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.161950278
2018,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.099263224
2001,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.246399947
2002,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.159886815
2003,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.188825045
2004,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.162122884
2005,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.168245831
2006,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.170800375
2007,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.212855582
2008,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.247069195
2009,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.259661054
2010,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.215397868
2011,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.122663738
2012,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.139254374
2013,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.141873259
2014,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.11678173
2015,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.071597664
2016,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.071074988
2017,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.060558466
2018,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.093643737
2001,,,,Undefined,Units,Number of Deaths,Deaths,,130
2002,,,,Undefined,Units,Number of Deaths,Deaths,,95
2003,,,,Undefined,Units,Number of Deaths,Deaths,,94
2004,,,,Undefined,Units,Number of Deaths,Deaths,,95
2005,,,,Undefined,Units,Number of Deaths,Deaths,,90
2006,,,,Undefined,Units,Number of Deaths,Deaths,,93
2007,,,,Undefined,Units,Number of Deaths,Deaths,,109
2008,,,,Undefined,Units,Number of Deaths,Deaths,,116
2009,,,,Undefined,Units,Number of Deaths,Deaths,,124
2010,,,,Undefined,Units,Number of Deaths,Deaths,,129
2011,,,,Undefined,Units,Number of Deaths,Deaths,,79
2012,,,,Undefined,Units,Number of Deaths,Deaths,,82
2013,,,,Undefined,Units,Number of Deaths,Deaths,,97
2014,,,,Undefined,Units,Number of Deaths,Deaths,,71
2015,,,,Undefined,Units,Number of Deaths,Deaths,,39
2016,,,,Undefined,Units,Number of Deaths,Deaths,,53
2017,,,,Undefined,Units,Number of Deaths,Deaths,,65
