Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2018,,,,Undefined,Units,Number of Deaths,Deaths,,57
2001,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,64
2002,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,52
2003,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,43
2004,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,51
2005,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,44
2006,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,46
2007,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,50
2008,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,47
2009,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,51
2010,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,68
2011,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,44
2012,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,42
2013,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,56
2014,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,37
2015,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,18
2016,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,32
2017,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,47
2018,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,29
2001,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,66
2002,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,43
2003,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,51
2004,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,44
2005,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,46
2006,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,47
2007,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,59
2008,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,69
2009,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,73
2010,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,61
2011,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,35
2012,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,40
2013,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,41
2014,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,34
2015,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,21
2016,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,21
2017,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,18
2018,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,28
2001,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,120
2002,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,84
2003,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,91
2004,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,88
2005,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,88
2006,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,90
2007,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,102
2008,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,112
2009,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,114
2010,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,115
2011,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,73
2012,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,81
2013,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,91
2014,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,64
2015,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,36
2016,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,48
2017,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,63
2018,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,53
2001,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,10
2002,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,11
2003,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2004,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7
2005,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2006,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2007,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7
2008,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2009,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,10
2010,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,14
2011,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,6
2012,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2013,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,6
2014,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7
2015,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2016,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,5
2017,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2018,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2001,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,59
2002,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,46
2003,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,42
2004,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,48
2005,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,43
2006,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,46
2007,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,47
2008,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,44
2009,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,47
2010,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,61
2011,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,40
2012,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,42
2013,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,53
2014,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,34
2015,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,16
2016,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,28
2017,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,45
2018,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,27
2001,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,61
2002,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,38
2003,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,49
2004,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,40
2005,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,45
2006,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,44
2007,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,55
2008,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,68
2009,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,67
2010,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,54
2011,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,33
2012,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,39
2013,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,38
2014,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,30
2015,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,20
2016,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,20
2017,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,18
2018,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,26
2001,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,5
2002,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,6
2003,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2004,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2005,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2006,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2007,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2008,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2009,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2010,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,7
2011,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2012,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2013,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2014,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2015,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2016,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2017,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2018,Wales,Male,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2001,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,5
2002,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,5
2003,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2004,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2005,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2006,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2007,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2008,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2009,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,6
2010,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,7
2011,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2012,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2013,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,3
2014,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,4
2015,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2016,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2017,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2018,Wales,Female,,Undefined,Units,Number of Deaths,Deaths,W92000004,2
2001,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2002,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2003,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2004,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2005,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2
2006,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2007,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2008,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2
2009,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2010,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2011,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2012,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2013,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2014,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2015,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2016,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,1
2017,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2018,,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2001,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2002,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2003,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2004,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2005,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2
2006,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2007,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2008,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2
2009,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2010,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2011,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2012,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2013,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2014,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2015,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2016,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,1
2017,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2018,England,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2001,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2002,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2003,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2004,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2005,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2006,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2007,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2008,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2009,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2010,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2011,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2012,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2013,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2014,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2015,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2016,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2017,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2018,Wales,,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2001,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2002,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2003,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2004,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2005,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2006,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2007,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2008,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2
2009,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2010,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2011,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2012,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2013,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2014,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2015,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2016,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2017,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2018,,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2001,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2002,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2003,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2004,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2005,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,2
2006,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2007,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2008,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2009,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2010,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2011,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2012,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2013,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2014,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2015,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2016,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,1
2017,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2018,,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,,0
2001,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2002,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2003,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2004,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2005,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2006,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2007,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2008,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2
2009,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2010,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2011,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2012,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2013,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2014,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2015,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2016,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2017,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2018,England,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2001,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2002,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2003,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2004,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2005,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,2
2006,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2007,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2008,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2009,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2010,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2011,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2012,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2013,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2014,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2015,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2016,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,1
2017,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2018,England,Female,Victim of flood,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2001,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2002,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2003,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2004,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2005,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2006,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2007,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2008,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2009,Wales,Male,Victim of flood,Undefined,Units,Number of Deaths,Deaths,W92000004,0
